UID,actual_time
XMsT9clviB,39.43
1iUuyRUZ2Y,59.25
wancwiAIU3,12.45
1tIt8EwJjB,60.32
W2vL6bJrjt,28.66
g5lrjWo6eK,64.43
KE7F74SjT0,125.52
HMGVlnqxnY,31.22
J9qBsamv10,28.01
cgjTf3B8md,59.03
d0O067s0VM,66.69
fkYwbWLGof,140.32
c27awWRU4L,201.75
NrbQdnHDdv,237.34
5OWkfJicqN,302.66
t5KaQWVzgY,293.67
oTpin2GoCI,302.45
SiOQqnd02T,419.41
4HNqanStsV,424.71
pfzXsB0Vfb,505.12
mHDR4dqCai,610.21
AEdjvXvPxH,50.96
7ACCY4vQKH,30.7
XQH7pfzey6,42.84
xckTmnHibJ,25.42
VKvYjz87PE,46.61
sY7WPKEFt1,62.98
orN6nbUDnL,12.27
NjfUZiMrD3,29.28
2u6v1laHAC,66.14
a0G8dxTh6A,90.48
oQKLWwnCAt,37.66
1oU9Boz38k,31.86
UHynQjEZJ6,78.13
bGuY902WaQ,31.99
g6jG8f6vJ5,101.78
ohDWi7NicP,136.8
3qnSz3HcbV,62.59
yhyIQIPvRg,31.48
wTflQSTDrY,31.27
4o756xnLFW,63.64
7AcTaIrvRN,77.08
4R7GJkVOV4,26.79
1NSvjFG66S,27.89
mngPCdAKTZ,53.34
tL35AunIst,79.47
7KLS21OYs7,96.6
BhwwTVtcju,20.29
6gKXQ8aVmI,42.72
PPWtAmmZub,95.2
JZboFYczS5,67.98
sLw3rGYvEK,130.97
Y0G98lStUf,218.57
S318wlr8um,149.46
7njmotIHXN,13.97
3eFQKO2xXz,39.26
M8mrWmE2fH,54.59
jx8yNy5eCL,109.16
tauMZLehcO,129.06
nkxbQMu3c7,150.85
V8Luw6h4Y2,237.26
q6UvbBWQSj,266.16
atAXPtKZx2,297.33
S7TxSYmnM2,332.1
dUHNN8AjPA,473.66
EKUkZTddNw,624.63
2KVESsI95d,640.88
PStWJhmXah,668.64
FUU0I9dybs,695.26
3SVJwGgcXs,750.67
8IlrsEwqyN,775.62
W1GSCBAn1T,29.42
cSTFwdY7Lg,84.34
05dUlPBeL6,52.26
JkfSebICrm,79.73
cIuHyuUBoO,28.05
kkWyrQlxzM,110.84
RDlcgifQM6,130.64
PPOE3KmlMJ,200.25
k1xAiilyWQ,305.37
gxZSD6qzhk,30.45
sCdKXKcSzG,28.63
7pg4Nqatfp,40.88
gq8lB0TtVA,84.79
4xCK9Enjig,40.32
Fw7qTNEIyl,56.06
DFqMY2qKUJ,125.15
ROsHZdRsoj,300.75
5DXYqxsfc6,328.96
ru8sNenOyZ,486.28
oXSHs0HnWD,479.37
2miEM5Mioz,479.13
w88FFtGVO5,54.4
hdbgV4kSBf,27.52
DOh5KsCvIz,36.3
tQF9bv2wS7,154.01
0objSkFDYP,210.73
GwN5S9XpCB,235.38
qiXIbth3tY,265.92
nEJ9msd5cY,452.56
TuXkI5Yb6B,33.65
9knAm6WtXJ,10.67
0ihmYmeWAI,34.76
FFkPTUhZtL,16.1
cif16pK6qH,30.44
ad8rOYnAIk,40.9
mTQPsKmbkM,85.45
fkzTNtAwPy,119.18
84ZUX7Zp76,37.76
WC2RzAU4tk,61.56
q5v7z5JVqg,75.93
XWeiQdHHNn,33.14
knMjKFTNBV,59.42
IYDDwR7fLM,94.52
O8k0c2vmUY,182.28
zb7K3AvMKs,33.0
mDTjAzHfH7,76.02
jrROgJFUeD,86.77
i21EePbFsg,40.12
Rmnpu8d6kF,23.16
KN7MRECdyq,232.31
ou6lWvIFMx,148.87
ThFve7NZGa,231.79
wnfjNarKUs,322.23
quHRefWkx6,33.05
b2Oo5tIhPb,44.65
Iaemtp4zPK,26.12
4vbuMX3eMa,50.3
SqBTJkZTsR,25.47
Vqr7REn9pi,48.4
Lb5prAtmTZ,606.97
kLN4j6bz2H,26.12
5XjkqmmSgj,60.39
DGZidKNJc0,100.3
U6oiVq72Hk,26.06
9ZIxs28wMq,34.48
OLixV3vIBs,26.7
HtdhVGUKWR,50.94
D2dmKfTaoR,87.78
MhIRWX7amz,33.66
atMwUiHFX2,57.15
ScpEU2tzFp,34.33
dm9NmfI6Tg,37.75
B23v7kwInm,49.55
H4VTDGePwJ,33.4
9ixdvLi5kt,48.64
aaasNXIZR9,23.3
ykEunHYQMc,78.18
vuX20P6i3p,221.37
GKVv2JuL4w,356.81
wNnPu4ScLc,457.39
OSKUPSFdwi,23.77
uRcRDzZ692,88.91
EPYs8ROwsj,173.87
3vGohp9t0Z,302.55
GDoOha6AiB,392.98
uq6V9I4lyU,386.38
SlLsJBN8cj,27.23
RYZYdBz8lb,61.74
T0UgA4VPwO,38.19
NvEecFcDZc,151.38
qeMGatMJut,24.61
6a6erdK3bk,69.46
B3HHCWRYvN,54.53
hndzkXcClq,118.35
IDSSMQLBf6,61.08
rZobZHBg5c,42.13
2b3Vo2ac5D,73.62
5XrGZ23ecB,23.83
QKzlklwRew,93.76
xZhyE6BEaY,28.92
wA0Vo1y9qz,39.56
FDJkvXrVgs,18.48
lbb2uAWimd,50.61
pDz3LQzlPI,62.01
qfNb2mRWuZ,74.84
rgSL68Ekib,47.66
YebEl0vuKA,62.12
OB66wTXoY7,90.96
38vWdrwDZ0,118.73
PklN1LOzk8,27.24
fuljq6VDOV,76.38
RHBKb9xpTG,33.12
yDdieMsppf,102.82
wrsoEuBFWQ,258.01
DoV7d6Uphv,309.8
jH8jbCRpu6,280.63
pfKzjH54q8,339.82
eGGTWc8gde,398.44
lJGCK8Hy83,476.62
15ItSHKCEu,534.56
pObX3qePjI,638.48
mF6EeizWUD,647.05
rx002Bfv1S,653.69
Ol79HNdubc,668.41
4sa38Z2fxV,684.71
u4S1x75JSo,866.81
Owi2eMWwDG,1024.43
9C7rMGLSmE,1090.54
h0wfYMjd9A,1101.52
EjjZoWvaxE,1224.76
fGIRb3Ar5p,1234.81
vN6hUVfQP9,1265.18
SNqvUeA8uZ,1405.66
ygCcUUDKCK,26.8
lERdLzv7il,64.63
Av35HWWP1U,66.65
fIg3gQySoL,37.9
RtafKFOwEZ,77.75
g4J5IuqQfX,107.7
moV5pazK2r,34.49
laIqNZ6NUU,67.06
NuB6YXMD85,83.76
H3msgzxVco,26.08
6iAG6p10Ai,67.0
NJCT1LXCAg,44.13
IAf4mIpHkm,97.71
6MDZ6gxukL,124.15
Ybk20O1Ubh,72.89
6wzGNK4E6v,26.94
Jo86ujZbIi,56.38
wfMU2IYUek,35.18
vKcWmwdfDX,37.8
Z53EwInL9R,15.65
u8GoqCfcmu,19.75
IuIYNx3pmw,43.2
c6oGIN448T,27.72
CUfdtYxFtI,55.67
mKhUpUAi14,142.4
FKXDUTFvo0,57.14
apYaViLkOT,20.92
aoz7gwkjSG,107.18
6RVNS6oJtW,276.6
iOuA72na8x,275.6
q4HgYuw9ej,310.14
l5oCCrWtQk,376.46
